7047,"_Line(m=85013.38190093607, b=-124265.6516259994)"
6962,"_Line(m=84947.08030901915, b=-108541.56608698073)"
7420,"_Line(m=85198.1017766399, b=-168073.817347917)"
7198,"_Line(m=84627.51840159374, b=-32754.264121972785)"
6798,"_Line(m=84889.54877335894, b=-94897.38708980591)"
6392,"_Line(m=84627.8850853466, b=-32841.22684079997)"
6994,"_Line(m=84556.0411872284, b=-15802.727963089768)"
6944,"_Line(m=85206.20747560785, b=-169996.1649151553)"
7278,"_Line(m=96276.56343443389, b=-2795441.7841103408)"
7529,"_Line(m=86392.55311871672, b=-451349.89763485646)"
7453,"_Line(m=88247.44678758421, b=-891256.4801434688)"
7239,"_Line(m=92163.12185858437, b=-0.0)"
7099,"_Line(m=86822.40134196245, b=-553292.7022598162)"
7505,"_Line(m=85930.7029480093, b=-341817.511149889)"
7578,"_Line(m=84795.42363811977, b=-72574.6700164858)"
7542,"_Line(m=86650.6008401028, b=-512548.49523877824)"
7617,"_Line(m=94063.94133473132, b=-2270696.3269448783)"
6633,"_Line(m=84944.04440450619, b=-107821.57097268358)"
7414,"_Line(m=86874.0485381926, b=-565541.3513177572)"
6476,"_Line(m=84820.21346932177, b=-78453.82638434625)"
6959,"_Line(m=84676.79138047772, b=-44439.84379409657)"
7083,"_Line(m=84676.77643850188, b=-44436.300155108525)"
6827,"_Line(m=84647.03288478921, b=-37382.31895661059)"
7182,"_Line(m=84647.04252937793, b=-37384.60626726716)"
7370,"_Line(m=86054.75150403903, b=-371236.8666978958)"
7319,"_Line(m=84835.58058800687, b=-82098.29225170563)"
7013,"_Line(m=85139.96080158977, b=-154285.10370502993)"
6360,"_Line(m=84850.32720008859, b=-85595.59877300699)"
7314,"_Line(m=84738.989555058, b=-59190.76287755494)"
7476,"_Line(m=84586.71525842846, b=-23077.390688892858)"
7502,"_Line(m=84684.42845440072, b=-46251.05224567616)"
6334,"_Line(m=84638.23555399517, b=-35295.94398549516)"
7183,"_Line(m=84667.89520745931, b=-42330.02740105067)"
7589,"_Line(m=84554.69605508332, b=-15483.716423561234)"
7484,"_Line(m=84532.87228514743, b=-10307.991145562693)"
7225,"_Line(m=84835.59407560283, b=-82101.49096996688)"
7008,"_Line(m=84540.05616797498, b=-12011.720796949063)"
7040,"_Line(m=84523.4904093335, b=-8082.9854775342565)"
7216,"_Line(m=84659.93731619061, b=-40442.73390776343)"
7397,"_Line(m=84781.90939297336, b=-69369.63163756485)"
6325,"_Line(m=84577.41248762018, b=-20871.14556400359)"
7574,"_Line(m=84644.37721525368, b=-36752.50036956635)"
7619,"_Line(m=84782.90430313587, b=-69605.58453170414)"
6686,"_Line(m=84575.80597218269, b=-20490.144362847772)"
6849,"_Line(m=84772.17735141604, b=-67061.58066182867)"
7429,"_Line(m=85489.99394116094, b=-237298.96308572893)"
7432,"_Line(m=85005.52239979032, b=-0.0)"
7325,"_Line(m=87360.0724754984, b=-43035.122858294744)"
6929,"_Line(m=89558.25390041209, b=-0.0)"
7428,"_Line(m=84646.91879823955, b=-37355.26219049302)"
7262,"_Line(m=84639.13686278657, b=-35509.69837846341)"
7547,"_Line(m=84696.84250850309, b=-49195.16931658905)"
7326,"_Line(m=89280.7010276584, b=-25756.608069231675)"
6764,"_Line(m=90580.96145737915, b=-0.0)"
7701,"_Line(m=89863.78466099559, b=-0.0)"
7561,"_Line(m=91174.5266888987, b=-0.0)"
6727,"_Line(m=91221.69405096608, b=-0.0)"
7333,"_Line(m=91504.20667554467, b=-0.0)"
6660,"_Line(m=91898.34928092474, b=-0.0)"
6636,"_Line(m=94994.06887428358, b=-0.0)"
6503,"_Line(m=91784.7882972084, b=-0.0)"
7078,"_Line(m=90573.91548152477, b=-27467.892743213586)"
7323,"_Line(m=89472.98556784651, b=-0.0)"
6427,"_Line(m=99883.24045613702, b=-0.0)"
7628,"_Line(m=88459.55480500332, b=-941560.0175545878)"
6366,"_Line(m=86836.95281606361, b=-556743.7298576451)"
7101,"_Line(m=84995.42727657493, b=-120007.53291250687)"
7005,"_Line(m=91254.66761576138, b=-0.0)"
7590,"_Line(m=84593.47516485467, b=-24680.570096929954)"
6635,"_Line(m=84602.81410256792, b=-26895.39256500675)"
6937,"_Line(m=84662.34558421679, b=-41013.878752855686)"
6865,"_Line(m=84572.30395211323, b=-19659.60528317076)"
6737,"_Line(m=84572.30742834951, b=-19660.429707368516)"
6893,"_Line(m=85313.13849231381, b=-195355.92483714502)"
6845,"_Line(m=86311.67200326553, b=-432168.13229445)"
6402,"_Line(m=84628.18075283756, b=-32911.34734295704)"
7538,"_Line(m=84674.74506549307, b=-43954.53973233566)"
7537,"_Line(m=84682.3935516599, b=-45768.45471166178)"
7245,"_Line(m=84543.80079082171, b=-12899.79555127689)"
7700,"_Line(m=84548.45101838882, b=-14002.643521092585)"
6897,"_Line(m=84681.81567198211, b=-45631.40476727912)"
6896,"_Line(m=84603.21711327726, b=-26990.970584837618)"
7586,"_Line(m=88060.39200701144, b=-846894.5683828329)"
6891,"_Line(m=85267.24994307556, b=-184472.9964997997)"
7457,"_Line(m=86784.74613973909, b=-544362.3945005237)"
7307,"_Line(m=90620.7115245879, b=-1454099.945171263)"
7242,"_Line(m=92165.41288897647, b=-0.0)"
7019,"_Line(m=85734.47481067438, b=-295280.04609953734)"
7568,"_Line(m=85524.08058665732, b=-245382.95193165223)"
6349,"_Line(m=86393.67815038637, b=-451616.710145632)"
7508,"_Line(m=84914.90362781759, b=-100910.54437322002)"
6977,"_Line(m=84569.03286166453, b=-18883.83347236051)"
6659,"_Line(m=84565.91167953315, b=-18143.613918086176)"
6410,"_Line(m=84784.2107521429, b=-69915.42197820704)"
6602,"_Line(m=84560.45319152657, b=-16849.078902442012)"
7113,"_Line(m=84678.71355056642, b=-44895.70565232833)"
6790,"_Line(m=84507.10818070458, b=-4197.776135898685)"
6878,"_Line(m=85604.0959614094, b=-264359.39820785535)"
6719,"_Line(m=84700.36465388666, b=-50030.48131576178)"
6522,"_Line(m=84613.66031624156, b=-29467.680599847674)"
7682,"_Line(m=84795.32185662334, b=-72550.53151678918)"
7641,"_Line(m=84616.7202789598, b=-30193.381358106584)"
7599,"_Line(m=87862.12126790071, b=-799872.6798953337)"
6498,"_Line(m=84558.76960627764, b=-16449.79982480712)"
7128,"_Line(m=84747.56339128522, b=-61224.133877201726)"
7572,"_Line(m=86126.93819665928, b=-388356.66271971376)"
7416,"_Line(m=84531.28018222116, b=-9930.408015574694)"
6966,"_Line(m=85091.66846004354, b=-142832.0919839248)"
6456,"_Line(m=84531.28011294885, b=-9930.391586948299)"
6924,"_Line(m=84947.65543813177, b=-108677.9637073331)"
