6025,72853.06564930953
6039,68139.66931394016
6042,73666.91872219706
6043,72317.29484390338
6054,67261.37654299918
6072,70733.15975455959
6082,70969.82300814475
6094,73653.36886572246
6120,68878.6294610783
6167,73007.44197010032
6213,69735.87429259846
6225,65939.28897806951
6232,77521.15873675072
6239,69292.60903129714
6246,69422.57287866602
6248,64060.72959475641
6251,62120.39390417196
6254,71422.99075734576
6266,75089.89927012745
6267,69478.84535233726
6272,70447.14844924715
6291,61073.218045370406
6295,71040.88793565962
6298,61265.45198708107
6299,63201.178297732025
6304,69389.0380255865
6307,68975.0125992411
6313,70710.25511831116
6316,70602.6195893164
6317,70409.09220725439
6320,72805.47056686938
6324,64017.19054480904
6325,69513.30201501705
6326,60187.67888845143
6327,68843.4333707746
6328,71305.4921499088
6329,69640.33326307217
6330,62099.63733005099
6331,66120.63923841885
6332,70139.95143828724
6333,73355.24711893224
6334,73429.13600354014
6335,66567.68079356755
6338,64505.06014857906
6345,72414.7537946447
6346,66991.63723002402
6348,68782.05662027912
6349,59191.180615402605
6350,69158.65273265612
6351,69167.7286926688
6357,68712.39074758554
6358,73944.37869631634
6360,67318.90167344084
6363,77074.74516138794
6366,69833.83006078747
6367,66203.71019142371
6368,68061.8100846469
6370,68536.54661891446
6372,67540.97002586005
6373,73467.06749908865
6374,70528.05555495279
6379,71477.30641504457
6380,55104.055400551144
6382,72117.95001458644
6384,71151.1348307245
6387,69487.53563554287
6389,72207.355297631
6390,70733.27926254465
6395,71623.01527346692
6396,70751.7194212339
6398,85259.83763031401
6402,69980.42571478321
6407,65538.93280705983
6408,76619.36647223089
6410,61649.172041030135
6411,62631.35811207738
6413,70348.3553889189
6414,68837.30608602944
6417,72112.51265464372
6418,73301.06167115839
6420,72756.18245783485
6424,70059.25539424467
6425,64516.6098081405
6426,68034.78037854708
6427,72362.58787519406
6428,76106.35860884082
6429,67497.85136652637
6431,77312.32828239059
6432,70525.2346043605
6434,72233.1263912309
6436,71788.974165313
6438,69244.07388043593
6441,69943.99854424482
6443,73665.85226331526
6446,73320.70559688774
6447,69448.08923469043
6450,70109.38899854415
6451,72053.84161540437
6454,76348.69601508598
6455,66903.20710976254
6456,72444.85525162253
6475,70957.77010524806
6476,69288.83568466887
6477,74869.45494849097
6480,74291.92829418748
6482,74220.83844082683
6485,50766.92214340585
6487,71970.77917158348
6490,70851.21182624916
6492,77084.36676003714
6493,68429.2761906473
6496,68482.67911340721
6501,71615.97787422866
6503,65718.59842947197
6504,68281.25241097086
6505,71224.75237042124
