date,id,calibration
2024-10-21,7236,73451.95827072804
2024-10-21,6232,80942.1585508618
2024-10-21,6841,69559.7374091882
2024-10-21,6660,72808.06802703445
2024-10-21,6368,68017.13598248306
2024-10-21,6835,76021.26567549557
2024-10-21,7171,58420.84391398953
2024-10-21,6396,70383.8338482758
2024-10-21,6577,70211.77532814906
2024-10-21,7020,74485.46741598389
2024-10-21,6643,73540.03514073658
2024-10-21,6733,63425.03594871248
2024-10-21,6517,72702.88408134607
2024-10-21,6961,73205.20546209173
2024-10-21,6936,50480.155710005296
2024-10-21,7211,68920.77348529824
2024-10-21,6767,71035.61028565932
2024-10-21,7013,68724.52795060631
2024-10-21,7274,67754.47778878936
2024-10-21,6856,70361.85655331147
2024-10-21,6717,74034.81417101907
2024-10-21,7024,73256.1388919121
2024-10-21,6941,68046.031407376
2024-10-21,6380,55098.955385605994
2024-10-21,6538,56884.62306416306
2024-10-21,6972,73408.53255919013
2024-10-21,7224,73243.56034914017
2024-10-21,7190,63218.258604513256
2024-10-21,6429,68129.7867271595
2024-10-21,6922,71839.13180045168
2024-10-21,6254,71988.18380609687
2024-10-21,6731,72713.00546629373
2024-10-21,6526,66691.55604397357
2024-10-21,6598,75762.9222968071
2024-10-21,6968,68098.09463076132
2024-10-21,6798,79200.27614035743
2024-10-21,6695,72282.13092926997
2024-10-21,6554,53389.695876409955
2024-10-21,6425,60275.13990449566
2024-10-21,6520,70589.38270283758
2024-10-21,7150,68458.50346615774
2024-10-21,7096,69175.39649167056
2024-10-21,7127,68603.51942454159
2024-10-21,6940,70493.32954235037
2024-10-21,6722,64278.37828186671
2024-10-21,7107,66027.0979949285
2024-10-21,6631,68725.29146970982
2024-10-21,6724,67040.41566234044
2024-10-21,7169,72375.12427976377
2024-10-21,6490,70802.72404120096
2024-10-21,7083,68445.28284095661
2024-10-21,7125,69949.88548199223
2024-10-21,6633,53280.34089739962
2024-10-21,6456,71894.55855904169
2024-10-21,7244,73355.8985801958
2024-10-21,6552,72607.27990355622
2024-10-21,6295,70499.73050554826
2024-10-21,6505,71196.243491654
2024-10-21,7295,69546.89274941478
2024-10-21,6909,71995.6856259681
2024-10-21,6994,74736.56113183704
2024-10-21,7174,72436.97308594207
2024-10-21,7226,69278.29020295864
2024-10-21,6900,69107.32822961484
2024-10-21,6839,56458.45612918467
2024-10-21,7108,69787.8881189748
2024-10-21,6516,72935.757904662285
2024-10-21,7253,72303.30470603972
2024-10-21,6693,68976.77177883968
2024-10-21,6336,72710.68752662133
2024-10-21,6298,58896.99803861894
2024-10-21,6406,73856.18476794491
2024-10-21,6675,69917.4852896137
2024-10-21,6824,67850.68536923616
2024-10-21,7007,68504.21743015082
2024-10-21,6644,71377.95057573257
2024-10-21,7033,72236.06309010596
2024-10-21,6635,70307.85862662621
2024-10-21,6789,69518.53042053134
2024-10-21,7080,66772.20853344264
2024-10-21,6564,73485.91035354766
2024-10-21,7239,151693.3689351672
2024-10-21,6379,72996.2805461615
2024-10-21,7175,68104.22542729127
2024-10-21,7260,70544.8985664877
2024-10-21,6993,69221.08171828066
2024-10-21,7199,73431.5967800094
2024-10-21,6266,74691.71746206602
2024-10-21,6741,68700.09731099822
2024-10-21,6758,54972.70714953282
2024-10-21,6493,66703.85151418627
2024-10-21,7140,67751.93768365616
2024-10-21,6600,70764.50450535858
2024-10-21,6668,75841.48922664899
2024-10-21,7111,66111.02470265287
2024-10-21,6754,60187.13590258516
2024-10-21,6501,71996.43481510514
2024-10-21,6360,69451.93868276355
2024-10-21,7189,63130.09508229436
2024-10-21,6877,70570.16129680024
2024-10-21,6511,69593.14913395049
2024-10-21,7009,83618.1063395018
2024-10-21,6382,71586.87808373416
2024-10-21,6476,67867.58992140206
2024-10-21,7038,75956.57159660509
2024-10-21,6785,56256.999141410786
2024-10-21,6313,69960.01734615066
2024-10-21,7056,72282.32026951326
2024-10-21,6325,69170.15067000312
2024-10-21,6616,77592.977625414
2024-10-21,6736,71848.32583289567
2024-10-21,6959,66496.25031488357
2024-10-21,6536,57552.813353699945
2024-10-21,7053,62457.43474114472
2024-10-21,6813,69990.52749289056
2024-10-21,7032,65588.35828895199
2024-10-21,6357,68545.55794334707
2024-10-21,7275,71128.401360626
2024-10-21,7025,69921.18545193697
2024-10-21,6829,70172.31959571486
2024-10-21,6882,68715.29701453497
2024-10-21,6830,72955.41943861269
2024-10-21,7182,69080.04349304044
2024-10-21,6583,64166.10728034702
2024-10-21,6792,63609.52257022007
2024-10-21,6039,68074.17832747508
2024-10-21,6750,70414.59869804142
2024-10-21,6334,73494.35143871677
2024-10-21,6641,66059.22114913982
2024-10-21,6350,68516.2167567622
2024-10-21,7054,68460.99388076719
2024-10-21,6531,67475.10553433896
2024-10-21,7004,69199.12483656297
2024-10-21,7087,75775.22037588913
